organization,country_firm
Rolls-Royce Motors,United Kingdom
Rolls-Royce Limited,United Kingdom
Vickers,United Kingdom
BMW,United Kingdom
Romulus Films,United Kingdom
Roxy Palace,United Kingdom
Royal Bank of Scotland,United Kingdom
Edinburgh,United Kingdom
National Commercial Bank of Scotland,United Kingdom
NatWest Group,United Kingdom
NatWest Holdings,United Kingdom
Ruffels Pictures,United Kingdom
Syco Music,United Kingdom
Sage Group plc,United Kingdom
enterprise software,United Kingdom
Newcastle upon Tyne,United Kingdom
Sainsbury's,United Kingdom
Argos,United Kingdom
Habitat,United Kingdom
Holborn,United Kingdom
Sainsbury's Bank,United Kingdom
Edinburgh,United Kingdom
Bank of Scotland,United Kingdom
Sainsbury's,United Kingdom
Saint John d'El Rey Mining Company,United Kingdom
Salts Healthcare Ltd,United Kingdom
ostomy,United Kingdom
orthotic,United Kingdom
Wolverhampton,United Kingdom
"Aston, Birmingham",United Kingdom
Samvo Group,United Kingdom
Sands Films,United Kingdom
Sandscale Mining Company,United Kingdom
Santander UK plc,United Kingdom
Euston,United Kingdom
Abbey National,United Kingdom
Bradford & Bingley,United Kingdom
Alliance & Leicester,United Kingdom
Santander Group,United Kingdom
Schroders plc,United Kingdom
Scott Cinemas,United Kingdom
Newton Abbot,United Kingdom
Scott Free Productions,United Kingdom
Scottish Hydro Electric,United Kingdom
"Perth, Scotland",United Kingdom
North of Scotland Hydro-Electric Board,United Kingdom
SSE plc,United Kingdom
Scottish Mortgage Investment Trust,United Kingdom
Edinburgh,United Kingdom
Baillie Gifford & Co,United Kingdom
Scottish Nuclear,United Kingdom
South of Scotland Electricity Board,United Kingdom
British Energy,United Kingdom
Magnox Electric,United Kingdom
Scottish Power,United Kingdom
Glasgow,United Kingdom
South of Scotland Electricity Board,United Kingdom
Iberdrola,United Kingdom
Scottish Water,United Kingdom
Dunfermline,United Kingdom
See-Saw Films,United Kingdom
SEEBOARD,United Kingdom
24seven,United Kingdom
Segro plc,United Kingdom
SES Water,United Kingdom
"Redhill, Surrey",United Kingdom
Seven Arts Pictures,United Kingdom
Caterham Cars,United Kingdom
Seven Seas,United Kingdom
Hull,United Kingdom
Feltham,United Kingdom
Imperial Tobacco,United Kingdom
Hanson Trust,United Kingdom
Merck Group,United Kingdom
Procter & Gamble,United Kingdom
Severn Trent,United Kingdom
Coventry,United Kingdom
Severn Trent Water Authority,United Kingdom
Severn Trent Water Authority,United Kingdom
Birmingham,United Kingdom
Derwent Valley Water Board,United Kingdom
Severn Trent,United Kingdom
SGN,United Kingdom
Horley,United Kingdom
Shakerley Collieries,United Kingdom
Manchester Collieries,United Kingdom
Sheffield Coal Company,United Kingdom
Sheffield,United Kingdom
United Steel Companies,United Kingdom
National Coal Board,United Kingdom
Sheffield Film Cooperative,United Kingdom
Sheffield,United Kingdom
Shepperton Studios,United Kingdom
Shepperton,United Kingdom
Shine TV (UK),United Kingdom
Shire,United Kingdom
Basingstoke,United Kingdom
Takeda Pharmaceutical Company,United Kingdom
SHS International,United Kingdom
Liverpool,United Kingdom
Nutricia,United Kingdom
Sigma Films,United Kingdom
Glasgow,United Kingdom
Silver Vision,United Kingdom
Siva Motor Car Company,United Kingdom
Aylesbury,United Kingdom
Sirius Minerals,United Kingdom
Anglo American,United Kingdom
Sky Betting & Gaming,United Kingdom
Smith & Nephew plc,United Kingdom
wound management,United Kingdom
arthroscopy,United Kingdom
trauma,United Kingdom
orthopedic,United Kingdom
Watford,United Kingdom
Smith Electric Vehicles,United Kingdom
"Washington, Tyne and Wear",United Kingdom
"Kansas City, Missouri",United Kingdom
Smiths Group plc,United Kingdom
mechanical seals,United Kingdom
couplings,United Kingdom
Society of Mines Royal,United Kingdom
Company of Mineral and Battery Works,United Kingdom
Ariel Motor Company,United Kingdom
Somerfield,United Kingdom
Bristol,United Kingdom
Manchester,United Kingdom
Kwik Save,United Kingdom
The Co-operative Group,United Kingdom
Somerset Film,United Kingdom
Bridgwater,United Kingdom
Shepperton Studios,United Kingdom
Shepperton Studios,United Kingdom
South Essex Waterworks Company,United Kingdom
Southend Waterworks Company,United Kingdom
Essex Water Company,United Kingdom
South East Water,United Kingdom
Snodland,United Kingdom
South of Scotland Electricity Board,United Kingdom
Scottish Nuclear,United Kingdom
Scottish Power,United Kingdom
South Staffordshire Water,United Kingdom
Walsall,United Kingdom
South West Water,United Kingdom
Exeter,United Kingdom
Pennon Group,United Kingdom
Southend Waterworks Company,United Kingdom
South Essex Waterworks Company,United Kingdom
Essex Water Company,United Kingdom
Southern Electric,United Kingdom
"Reading, Berkshire",United Kingdom
Scottish and Southern Energy,United Kingdom
Southern Water,United Kingdom
Worthing,United Kingdom
Southwark and Vauxhall Waterworks Company,United Kingdom
Metropolitan Water Board,United Kingdom
Spacebit,United Kingdom
space robotics,United Kingdom
Spark Energy,United Kingdom
"Selkirk, Scottish Borders",United Kingdom
OVO Energy,United Kingdom
Speakit Films,United Kingdom
Spirax-Sarco Engineering plc,United Kingdom
peristaltic,United Kingdom
Cheltenham,United Kingdom
Spirit Level Film,United Kingdom
Spin TV,United Kingdom
Sportech,United Kingdom
Spreadex,United Kingdom
Dunstable,United Kingdom
St Albans,United Kingdom
SSE plc,United Kingdom
"Perth, Scotland",United Kingdom
Scottish Hydro Electric,United Kingdom
Southern Electric,United Kingdom
SSL International,United Kingdom
Reckitt Benckiser,United Kingdom
St. James's Place plc,United Kingdom
Cirencester,United Kingdom
Stallergenes Greer,United Kingdom
Stallergenes,United Kingdom
Standard Bank Limited,United Kingdom
"Chartered Bank of India, Australia and China",United Kingdom
Standard Chartered Bank,United Kingdom
Standard Chartered plc,United Kingdom
universal bank,United Kingdom
"Chartered Bank of India, Australia and China",United Kingdom
Standard Bank Limited,United Kingdom
Standard Life Aberdeen plc,United Kingdom
Edinburgh,United Kingdom
Aberdeen Asset Management,United Kingdom
Stanley Leisure,United Kingdom
Stanleybet International,United Kingdom
Liverpool,United Kingdom
Staveley Coal and Iron Company,United Kingdom
"Staveley, Derbyshire",United Kingdom
Stewarts & Lloyds,United Kingdom
British Steel Corporation,United Kingdom
Stephenson Clarke Shipping,United Kingdom
Newcastle upon Tyne,United Kingdom
Stevens Vehicles,United Kingdom
Port Talbot,United Kingdom
Stolen Picture,United Kingdom
Stoll Pictures,United Kingdom
Strange Company,United Kingdom
machinima,United Kingdom
Edinburgh,United Kingdom
Cricklewood Studios,United Kingdom
Suited Caribou Media,United Kingdom
Glasgow,United Kingdom
Sutton District Water,United Kingdom
"Sutton, London",United Kingdom
East Surrey Water Company,United Kingdom
Sutton and East Surrey Water,United Kingdom
SWEB Energy,United Kingdom
EDF Energy,United Kingdom
Syco,United Kingdom
Syco Music,United Kingdom
Sylva Autokits,United Kingdom
Lincolnshire,United Kingdom
Syncopy Inc.,United Kingdom
Sweetapple,United Kingdom
Tanfield Group,United Kingdom
Tyne and Wear,United Kingdom
Tarmac Group,United Kingdom
Wolverhampton,United Kingdom
Lafarge,United Kingdom
Tarmac plc,United Kingdom
Tarmac plc,United Kingdom
Solihull,United Kingdom
Tarmac Group,United Kingdom
Lafarge,United Kingdom
CRH plc,United Kingdom
Tata Steel Europe,United Kingdom
British Steel plc,United Kingdom
Koninklijke Hoogovens,United Kingdom
Tata Steel,United Kingdom
Taylor Wimpey plc,United Kingdom
High Wycombe,United Kingdom
Taylor Woodrow,United Kingdom
George Wimpey,United Kingdom
Taylor Woodrow,United Kingdom
George Wimpey,United Kingdom
Taylor Wimpey plc,United Kingdom
Tecrea,United Kingdom
nanomedicine,United Kingdom
Teddington Studios,United Kingdom
Telecom Plus,United Kingdom
Tempean Films,United Kingdom
Templeheart Films,United Kingdom
Terra Firma Capital Partners,United Kingdom
Nomura Principal Finance Group,United Kingdom
Tesco Bank,United Kingdom
Edinburgh,United Kingdom
Tesco plc,United Kingdom
Thames Water,United Kingdom
"Reading, Berkshire",United Kingdom
Theatre Workshop Scotland,United Kingdom
Edinburgh,United Kingdom
Thin Man Films,United Kingdom
EMI Films,United Kingdom
Thornton & Ross,United Kingdom
Linthwaite,United Kingdom
Tide,United Kingdom
fintech,United Kingdom
Tiger Racing,United Kingdom
Peterborough,United Kingdom
Tigerlily Films,United Kingdom
Tigon British Film Productions,United Kingdom
Titanium Resources Group,United Kingdom
Sierra Leone,United Kingdom
Freetown,United Kingdom
Sierra Rutile Limited,United Kingdom
tombola,United Kingdom
Sunderland,United Kingdom
TopCashback,United Kingdom
Stafford,United Kingdom
The Tote,United Kingdom
Wigan,United Kingdom
Tredegar Iron and Coal Company,United Kingdom
National Coal Board,United Kingdom
Triga Films,United Kingdom
Triking,United Kingdom
"Hingham, Norfolk",United Kingdom
TUI AG,United Kingdom
Hanover,United Kingdom
Berlin,United Kingdom
TUI Airways,United Kingdom
Luton,United Kingdom
Britannia Airways,United Kingdom
TUI AG,United Kingdom
TVF Media,United Kingdom
TVR,United Kingdom
Blackpool,United Kingdom
Walliswood,United Kingdom
Twickenham Studios,United Kingdom
Two Cities Films,United Kingdom
Tyldesley Coal Company,United Kingdom
Tyldesley,United Kingdom
National Coal Board,United Kingdom
UK Coal,United Kingdom
Harworth,United Kingdom
UK Power Networks,United Kingdom
Ulster Bank Ltd,United Kingdom
Belfast,United Kingdom
NatWest Holdings,United Kingdom
NatWest Group,United Kingdom
Modern Life?,United Kingdom
United Steel Companies,United Kingdom
United Utilities,United Kingdom
Warrington,United Kingdom
North West Water,United Kingdom
NORWEB,United Kingdom
Unusuality Productions,United Kingdom
Vandyke Productions,United Kingdom
Vauxhall Motors,United Kingdom
Vauxhall,United Kingdom
"Chalton, Bedfordshire",United Kingdom
GM Motors,United Kingdom
Groupe PSA,United Kingdom
Veolia Water Central,United Kingdom
"Hatfield, Hertfordshire",United Kingdom
Colne Valley,United Kingdom
Affinity Water,United Kingdom
Veolia Water East,United Kingdom
Manningtree,United Kingdom
Affinity Water,United Kingdom
Veolia Water Southeast,United Kingdom
"Folkestone, Kent",United Kingdom
Affinity Water,United Kingdom
Verity Films,United Kingdom
Vernalis plc,United Kingdom
Winnersh,United Kingdom
British Biotech,United Kingdom
Ligand Pharmaceuticals,United Kingdom
Vertigo Films,United Kingdom
ViiV Healthcare,United Kingdom
Brentford,United Kingdom
GlaxoSmithKline,United Kingdom
Pfizer,United Kingdom
Shionogi,United Kingdom
Vince & Son,United Kingdom
"Ely, Cambridgeshire",United Kingdom
Virgin Cinemas,United Kingdom
Virgin Films,United Kingdom
Virgin Games,United Kingdom
Virgin Media,United Kingdom
"Hook, Hampshire",United Kingdom
Liberty Global,United Kingdom
Virgin Money UK plc,United Kingdom
Clydesdale Bank plc,United Kingdom
Clydesdale Bank,United Kingdom
Yorkshire Bank,United Kingdom
Virgin Money,United Kingdom
Viridor,United Kingdom
"Taunton, Somerset",United Kingdom
Pennon Group,United Kingdom
Vodafone Group,United Kingdom
IPTV,United Kingdom
"Newbury, Berkshire",United Kingdom
Vodafone Global Enterprise,United Kingdom
Racal Telecom,United Kingdom
Vue Cinemas,United Kingdom
Wales & West Utilities,United Kingdom
"Newport, Wales",United Kingdom
National Grid plc,United Kingdom
CK Infrastructure Holdings,United Kingdom
Walthamstow Studios,United Kingdom
Walthamstow,United Kingdom
Walturdaw Company Limited,United Kingdom
Warp Films,United Kingdom
Sheffield,United Kingdom
Warp X,United Kingdom
Warp Records,United Kingdom
Sheffield,United Kingdom
Warp X,United Kingdom
Warp Films,United Kingdom
Sheffield,United Kingdom
Notts,United Kingdom
Warwick Films,United Kingdom
Warwick Trading Company,United Kingdom
Water Plus,United Kingdom
Stoke-on-Trent,United Kingdom
United Utilities,United Kingdom
Severn Trent Water,United Kingdom
Well Pharmacy,United Kingdom
Manchester,United Kingdom
The Co-operative Group,United Kingdom
Bestway Group,United Kingdom
Welsh-Pearson,United Kingdom
Welsh Water,United Kingdom
Hyder,United Kingdom
"Nelson, Wales",United Kingdom
Welsh National Water Development Authority,United Kingdom
Welsh Water,United Kingdom
Welwyn Studios,United Kingdom
Welwyn Garden City,United Kingdom
Hertfordshire,United Kingdom
Wessex Water,United Kingdom
"Bath, Somerset",United Kingdom
YTL Corporation,United Kingdom
West Middlesex Waterworks Company,United Kingdom
Metropolitan Water Board,United Kingdom
Westbourne Communications,United Kingdom
Western Power Distribution,United Kingdom
Bristol,United Kingdom
PPL,United Kingdom
Westfield Sportscars,United Kingdom
Kingswinford,United Kingdom
West Midlands,United Kingdom
Whitbread,United Kingdom
Houghton Regis,United Kingdom
White Crane Films,United Kingdom
Wigan Coal and Iron Company,United Kingdom
William Hill,United Kingdom
Williams & Glyn's Bank,United Kingdom
Williams Deacon & Co,United Kingdom
"Glyn, Mills & Co.",United Kingdom
NatWest Group,United Kingdom
Catford Studios,United Kingdom
Wimbledon Studios,United Kingdom
Colliers Wood,United Kingdom
Woodfall Film Productions,United Kingdom
Working Title Films,United Kingdom
World Wide Pictures (UK),United Kingdom
WPP plc,United Kingdom
WRc,United Kingdom
Wrexham Water plc,United Kingdom
Dee Valley Water,United Kingdom
Xchanging,United Kingdom
Xtract Resources,United Kingdom
Yeast Culture,United Kingdom
"Camden, London",United Kingdom
Yorkshire Electricity,United Kingdom
Leeds,United Kingdom
American Electric Power,United Kingdom
Yorkshire Water,United Kingdom
"Bradford, Yorkshire",United Kingdom
Kelda Group,United Kingdom
Zeneca,United Kingdom
Imperial Chemical Industries,United Kingdom
Astra AB,United Kingdom
AstraZeneca,United Kingdom
Zenith Productions,United Kingdom
Zenith Entertainment,United Kingdom
Zenos Cars,United Kingdom
Wymondham,United Kingdom
Zipline Creative,United Kingdom
77 Bank,Japan
81 Produce,Japan
Acom,Japan
Advantest,Japan
Æon,Japan
AGC,Japan
Aichi Bank,Japan
Aichi Steel,Japan
Aiful,Japan
Aisin Seiki,Japan
Aiwa,Japan
Ajinomoto,Japan
Akai,Japan
Akebono Brake Industry,Japan
Akita Bank,Japan
Alaxala Networks,Japan
All Nippon Airways,Japan
Allied Telesis,Japan
Alps Electric,Japan
Alpine Electronics,Japan
ANEST IWATA,Japan
Aniplex,Japan
Anritsu,Japan
AOC Holdings,Japan
Aomori Bank,Japan
Aoshima,Japan
Aoyagi Metals Company (Ayk),Japan
Aozora Bank,Japan
Arai Helmet Ltd.,Japan
Arc System Works,Japan
Aruze,Japan
Asahi Breweries,Japan
ASICS Corporation,Japan
Asahi Kasei,Japan
Asahi Shimbun,Japan
Astellas Pharma,Japan
Autobacs Seven Co.,Japan
Audio-Technica,Japan
Avex Group,Japan
"Baby, The Stars Shine Bright",Japan
Balmuda,Japan
Bandai,Japan
Bandai Visual,Japan
Namco Bandai Games,Japan
Namco Bandai Holdings,Japan
Bank of Iwate,Japan
Bank of Tokyo-Mitsubishi UFJ,Japan
Bank of Yokohama,Japan
A Bathing Ape,Japan
Best Denki,Japan
Bones,Japan
Bridgestone,Japan
Brother Industries,Japan
Bungeishunjū,Japan
"Calbee, Inc.",Japan
Calsonic Kansei Corporation,Japan
Canon,Japan
Canon IT Solutions,Japan
Capcom,Japan
Casio,Japan
CatEye,Japan
Cave,Japan
Central Japan Railway Company,Japan
Chiba Bank,Japan
Chino corporation,Japan
Chisso,Japan
Chiyoda Corporation,Japan
Chizu Express,Japan
Chubu Electric Power,Japan
Chugoku Electric Power,Japan
Chuokoron-Shinsha,Japan
Citizen,Japan
Comsys,Japan
Cosmo Oil,Japan
Cospa,Japan
Credit Saison,Japan
Dai Nippon Printing,Japan
Daicel,Japan
Daiei,Japan
Daifuku,Japan
Daihatsu,Japan
Daiichi Sankyo,Japan
Daikin Industries,Japan
Daikyo,Japan
Daimaru,Japan
Dainippon Sumitomo Pharma,Japan
Daiso,Japan
Daiwa House Industry,Japan
Daiwa Securities,Japan
Denka,Japan
Denon,Japan
Denso,Japan
Dentsu,Japan
Descente,Japan
Digital Frontier,Japan
DIC Corp. (formerly  Dainippon Ink & Chemicals),Japan
Disco Corporation,Japan
DigiOn,Japan
DMG Mori Seiki,Japan
Dome,Japan
Don Quijote,Japan
Dowa Holdings,Japan
Dwango,Japan
Dynic Corporation,Japan
East Japan Railway Company,Japan
Ebara Corporation,Japan
Eiken Chemical,Japan
Eisai,Japan
Eizo,Japan
Electric Power Development Company,Japan
Enkei Corporation,Japan
Ezaki Glico,Japan
Eco Marine Power,Japan
Falken TiresSee Sumitomo Rubber Industries,Japan
Family Inada,Japan
FamilyMart,Japan
Fanuc,Japan
Fast Retailing,Japan
Fenrir Inc,Japan
Fernandes Guitars,Japan
Fostex,Japan
Fuji Electric,Japan
Fuji Fire & Marine,Japan
Fuji Heavy Industries,Japan
"Fuji Media Holdings, Inc.",Japan
"Fuji Xerox Co., Ltd.",Japan
Fujifilm,Japan
Fujimitsu Corporation,Japan
Fujitec,Japan
Fuji Television,Japan
Fujitsu,Japan
Fukushima Galilei,Japan
Funai,Japan
Furukawa Electric,Japan
Furuno,Japan
Futaba Corporation,Japan
Gainax,Japan
Gakken,Japan
GEOS,Japan
Globeride,Japan
GS Yuasa,Japan
Gonzo,Japan
Genista Corporation,Japan
GungHo Online Entertainment,Japan
GrapeCity,Japan
H2O Retailing,Japan
Hamamatsu Photonics,Japan
Hankyu Hanshin Holdings,Japan
Hankyu Railway,Japan
Hanomag,Japan
Hanshin Electric Railway,Japan
Hasegawa,Japan
Haseko,Japan
Hazama Ando,Japan
HI-LEX,Japan
Hirobo,Japan
Hirose Electric,Japan
Hisamitsu Pharmaceutical,Japan
Hitachi,Japan
HKS,Japan
Hokkaidō Electric Power,Japan
Hokkaido Railway Company,Japan
Hokkoku Bank,Japan
Hokuetsu Corporation,Japan
Hokuriku Electric Power Company,Japan
Hokuriku Bank,Japan
Hokuto Bank,Japan
Honda,Japan
Horiba,Japan
Horipuro,Japan
Hoshino Gakki,Japan
Hosiden,Japan
House Foods,Japan
Howa Machinery,Japan
Hoya Corporation,Japan
Human Entertainment,Japan
Ibanez,Japan
Ibiden,Japan
ICOM,Japan
Idea Factory,Japan
Idemitsu Kosan,Japan
IHI Corporationformerly Ishikawajima-Harima,Japan
Impul,Japan
Imperial Hotel,Japan
Index Corporation,Japan
Inpex,Japan
Irem,Japan
Iris Ohyama,Japan
Iseki,Japan
Isetan,Japan
Ishida,Japan
Isuzu Motors,Japan
Ito-Yokado,Japan
Itochuformerly C. Itoh & Co.,Japan
Itochu Techno-Solutions,Japan
Iwataya Mitsukoshi,Japan
Izumiya,Japan
Jaleco,Japan
JAL Infotec,Japan
Janome,Japan
Japan Airlines,Japan
Japan Display,Japan
Japan Credit Bureau,Japan
Japan Freight Railway Company,Japan
Japan Post Bank,Japan
Japan Post Holdings,Japan
Japan Post Insurance,Japan
Japan Post,Japan
Japan Radio Company,Japan
Japan Remote Control,Japan
Japan Tobacco,Japan
JEOL,Japan
JFE Holdings,Japan
JGC Corporation,Japan
Joyo Bank,Japan
JTB Corporation,Japan
JTEKT,Japan
JUKI Corporation,Japan
"JUN AutoTanaka Industrial Co., Ltd.",Japan
"JVC (Victor Company of Japan, Ltd.)",Japan
JVCKenwood,Japan
JustSystems,Japan
Kabaya,Japan
K Line,Japan
Kadokawa Corporation,Japan
Kadokawa Dwango Corporation,Japan
Kadokawa Shoten,Japan
Kagome,Japan
Kajima Construction,Japan
Kaneka Corporation,Japan
Kanesue,Japan
Kansai Electric Power Company,Japan
Kansai Paint,Japan
Kao Corporation,Japan
Kawai Musical Instruments Manufacturing,Japan
Kawasaki Heavy Industries,Japan
KDDI,Japan
Keihin Corporation,Japan
Keihin Electric Express Railway,Japan
Keio Corporation,Japan
Keisei Electric Railway,Japan
Kenwood Electronics,Japan
Keyence,Japan
Kikkoman,Japan
Kintetsu Group,Japan
Kirin Company,Japan
Kita-Osaka Kyuko Railway,Japan
Kobe Electric Railway,Japan
Kobe New Transit,Japan
Kobe Steel,Japan
Kodansha,Japan
Koei,Japan
Komatsu Limited,Japan
Komori,Japan
Konami,Japan
Kondo Kagaku,Japan
Kongō Gumi,Japan
Konica Minolta,Japan
Korg,Japan
KOSÉ,Japan
Kubota,Japan
Kumagai Gumi,Japan
Kumon,Japan
Kuraray,Japan
Kureha Corporation,Japan
Kuretake,Japan
Kurita Water Industries,Japan
Kyocera,Japan
KYB Corporation,Japan
Kyosho,Japan
Kyushu Electric Power,Japan
Kyushu Railway Company,Japan
Lawson,Japan
Lion Corporation,Japan
Livedoor,Japan
LIXIL Group Corporation,Japan
Mabuchi Motor,Japan
Maeda Corporation,Japan
Makino,Japan
Makita,Japan
Mandom,Japan
Marubeni,Japan
Maruha Nichiro,Japan
Maruhon,Japan
Marui,Japan
Marukome,Japan
Marvelous,Japan
Matsuura Machinery,Japan
Mazda,Japan
Mazdaspeed,Japan
Media Create,Japan
Meidensha,Japan
Meiji Holdings,Japan
Meiji Dairies,Japan
Meiji Seika,Japan
Meiji Yasuda Life Insurance,Japan
"Melco Holdings Inc.Well known for Buffalo, Inc.",Japan
Metropolitan Intercity Railway Company,Japan
Michinoku Bank,Japan
Mikasa CorporationAlso known by the name Mikasa Sports.,Japan
Millea Holdings,Japan
MINE'S,Japan
Ministop,Japan
Mister Donut,Japan
MITSUBA,Japan
Mitsubishi,Japan
Mitsubishi Motors,Japan
Mitsubishi Chemical,Japan
Mitsubishi Corporation,Japan
Mitsubishi Electric,Japan
Mitsubishi Estate,Japan
Mitsubishi Gas Chemical,Japan
Mitsubishi Heavy Industries,Japan
Mitsubishi Materials,Japan
Mitsubishi PencilUnrelated to Mitsubishi Group,Japan
Mitsubishi UFJ Financial Group,Japan
Mitsubishi UFJ Trust and Banking Corporation,Japan
"Mitsubishi UFJ Securities Co., Ltd.",Japan
Mitsui,Japan
Mitsui Bussan,Japan
Mitsui Chemicals,Japan
Mitsui Engineering & Shipbuilding,Japan
Mitsui Fudosan,Japan
Mitsui Knowledge Industry,Japan
Mitsui O.S.K. Lines,Japan
Mitsui Sumitomo Insurance,Japan
Mitsui Trust Holdings,Japan
Mitsukoshi,Japan
Mitsumi Electric,Japan
Mitutoyo,Japan
Miyata,Japan
Mizkan,Japan
Mizuho Financial Group,Japan
Mizuho Bank,Japan
Mizuho Corporate Bank,Japan
Mizuho Trust & Banking,Japan
Mizuho Information & Research Institute,Japan
Mizuno Corporation,Japan
MODEC,Japan
Molten Corporation,Japan
Moodyz,Japan
Morinaga & Company,Japan
Moriwaki Engineering,Japan
Morozoff Ltd.,Japan
Mugen Motorsports,Japan
Mugen Seiki,Japan
Muji,Japan
Murata Machinery,Japan
Murata Manufacturing,Japan
Miyazawa Flutes,Japan
Nabtesco,Japan
Nachi-Fujikoshi,Japan
Nagoya Railroad,Japan
Nagisa Auto,Japan
Nakajima Aircraft Company (early 20th century),Japan
Nakano Corporation,Japan
Namco,Japan
Nankai Electric Railway,Japan
Nanto Bank,Japan
NHK,Japan
NHK Spring,Japan
Nichia,Japan
Nichicon,Japan
Nichirei,Japan
Nidec,Japan
Nihon Dempa Kogyo,Japan
Nihon Kohden,Japan
Nippon Broadcasting System,Japan
Nippon Computer Systems,Japan
NEC,Japan
Nihon Bussanaka Nichibutsu,Japan
Nikken Sekkei,Japan
Nikko Ceramics,Japan
Nikko Cordial,Japan
Nikon,Japan
Nintendo,Japan
Nippon Cable,Japan
Nippon Chemi-Con,Japan
Nippon Electric Glass,Japan
Nippon Express,Japan
Nippon Flour Mills,Japan
Nippon Kayaku,Japan
Nippon Light Metal,Japan
Nippon Meat Packers,Japan
Nippon Mining,Japan
Nippon Oil,Japan
Nippon Paint,Japan
Nippon Paper Industriesformerly Nippon Unipac and  Nippon Paper Group,Japan
Nippon Sheet Glass,Japan
Nippon Shinpansee Mitsubishi UFJ Financial Group,Japan
Nippon Soda,Japan
Nippon Steel & Sumitomo Metal,Japan
Nippon Steel Trading,Japan
Nippon TV Network,Japan
Nippon Yusen,Japan
Nipro,Japan
Nismoaka Nissan Motorsport International,Japan
Nissan Chemical Corporation,Japan
Nissan Motors,Japan
Nisshin Steel,Japan
Nisshinbo Holdings,Japan
Nissin Electric,Japan
Nissin Foods,Japan
Nissin Kogyo,Japan
Nitto Boseki,Japan
Nitto Denko,Japan
NKK Switches,Japan
Nomura Holdings,Japan
Nomura Securities,Japan
Nomura Research Institute,Japan
Noritake,Japan
Nose Railway,Japan
NSK,Japan
NS Solutions,Japan
NTN Corporation,Japan
NTT,Japan
NTT DoCoMo,Japan
Obayashi Corporation,Japan
Odakyu Electric Railway,Japan
Ohara Corporation,Japan
Ohto,Japan
Oji Paper Company,Japan
Oki Electric Industry,Japan
Okuma Corporation,Japan
Olfa Corporation,Japan
Olympus,Japan
Omron,Japan
Onkyo,Japan
Ono Pharmaceutical,Japan
OPA co. ltd.,Japan
Orient,Japan
Oriental Land Company,Japan
Orion Breweries,Japan
Orix,Japan
O.S. Engines,Japan
Osaka Gas,Japan
Osaka Titanium Technologies,Japan
Otsuka Pharmaceutical Co.,Japan
Panasonic,Japan
Peach Aviation,Japan
Penta-Ocean,Japan
Pentax,Japan
Pentel,Japan
Phiten,Japan
Pilot Pen Corporation,Japan
Pioneer Corporation,Japan
The Pokémon Company,Japan
Pokka Sapporo Food & Beverage(formerly Pokka Corporation),Japan
Pony Canyon,Japan
Poplar,Japan
Prince Hotels,Japan
Princeton,Japan
Production I.G,Japan
Raizing,Japan
Rakuten,Japan
Ralliart,Japan
RAYS,Japan
RE Amemiya,Japan
Renesas Electronics Corporation,Japan
Renown,Japan
Resona Holdings,Japan
Ricoh,Japan
Rinnai,Japan
Riso Kagaku Corporation,Japan
Rohm,Japan
Rohto Pharmaceutical Co.,Japan
Roland Corporation,Japan
Rosso Corporation,Japan
Royce' Confect Company,Japan
Rubycon Corporation,Japan
Ryobi,Japan
S&B Foods,Japan
Saitama Resona Bank,Japan
Sammy Corporation,Japan
San-Ai Oil,Japan
Sanden,Japan
Sankyo Flute Company,Japan
Santen Pharmaceutical,Japan
Sanrio,Japan
Sansui Electric,Japan
Sanyo,Japan
Sapporo Brewery,Japan
"Sanwa Electronic Instrument Co., Ltd.",Japan
SARD,Japan
Sato Pharmaceutical,Japan
SCSK,Japan
Secom,Japan
Sega,Japan
Sega Sammy Holdings,Japan
Seibu Holdings,Japan
Seibu Railway,Japan
Seiko,Japan
Seiko Epson,Japan
Seikosha,Japan
Seiyu Group,Japan
Sekisui House,Japan
Seven & I Holdings,Japan
Sharp Corporation,Japan
Shikoku Electric Power,Japan
Shikoku Railway Company,Japan
Shimano,Japan
Shimadzu Corporation,Japan
Shimizu Corporation,Japan
Shin-Etsu Chemical,Japan
Shin-Keisei Electric Railway,Japan
"Shinano Kenshi Co., Ltd.Well known for Plextor.",Japan
Shindengen Electric Manufacturing,Japan
Shinsei Bank,Japan
Shiseido (cosmetics),Japan
Shizuoka Bank,Japan
Shoei,Japan
Shonai Bank,Japan
SHOWA Corporation,Japan
Showa Denko,Japan
Showa Shell Sekiyu,Japan
Shueisha (manga publisher),Japan
Sigma Corporation,Japan
SKY Perfect,Japan
SMC Corporation,Japan
Smile Please,Japan
SNK Playmore,Japan
Snow Brand Milk,Japan
Softbank,Japan
Sogo,Japan
Sojitz,Japan
Sompo Japan Insurance,Japan
Sony,Japan
Sony Global Solutions,Japan
Sony Music Entertainment Japan,Japan
Spike Chunsoft,Japan
Square Enix,Japan
Stanley Electric,Japan
Star Micronics,Japan
Studio Ghibli,Japan
Subaru,Japan
Subaru Tecnica International,Japan
Sugino,Japan
Sumco,Japan
Sumitomo,Japan
Sumitomo Chemical,Japan
Sumitomo Electric,Japan
Sumitomo Heavy Industries,Japan
Sumitomo Metal Industries,Japan
Sumitomo Metal Mining,Japan
Sumitomo Mitsui Financial Group,Japan
Sumitomo Mitsui Banking Corporation,Japan
Sumitomo Mitsui Construction,Japan
Sumitomo Realty & Development,Japan
Sumitomo Riko,Japan
